street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
25,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,3269,1077500,1910,329
70,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2147,826100,1910,384
118,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Bw - Bungalow,1025,663900,1920,647
88,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2056,778200,1930,378
1073,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2029,663600,1926,326
34,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2204,670500,1910,304
26,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2335,702500,1900,300
24,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2558,850500,1915,332
18,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2050,676700,1915,330
64,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2519,906900,1910,359
56,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2200,862400,1915,391
127,BARNES AV,East Boston,2128,Single Fam Dwelling,Cp - Cape,2090,973000,1950,465
1106,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1144,554700,1915,484
1102,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1518,552900,1930,364
32,ST EDWARD RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1292,495400,1910,383
1084,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1341,541600,1915,403
17,BARNES AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1667,596500,1930,357
21,BARNES AV,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1603,816900,1920,509
49,BARNES AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2376,898400,1940,378
65,BARNES AV,East Boston,2128,Single Fam Dwelling,Rn - Ranch,896,618400,1960,690
69,BARNES AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1690,723700,1900,428
130,BARNES AV,East Boston,2128,Single Fam Dwelling,Cp - Cape,1335,643900,1950,482
98,BARNES AV,East Boston,2128,Single Fam Dwelling,Rn - Ranch,2604,815100,1960,313
36,BARNES AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1412,625600,1900,443
26,BARNES AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1985,696400,1910,350
25,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2416,745800,1910,308
33,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2167,735100,1910,339
